protocol,port,service,description
TCP,0,,Reserved
TCP,1,tcpmux,Port Service Multiplexer
TCP,2,compressnet,Management Utility
TCP,3,compressnet,Compression Process
TCP,4,,Unassigned
TCP,5,rje,Remote Job Entry
TCP,6,,Unassigned
TCP,7,echo,Echo
TCP,8,,Unassigned
TCP,9,discard,Discard
TCP,10,,Unassigned
TCP,11,systat,Active Users
TCP,12,,Unassigned
TCP,13,daytime,Daytime (RFC 867)
TCP,14,,Unassigned
TCP,15,,Unassigned [was netstat]
TCP,16,,Unassigned
TCP,17,qotd,Quote of the Day
TCP,18,msp,Message Send Protocol
TCP,19,chargen,Character Generator
TCP,20,ftp-data,File Transfer [Default Data]
TCP,21,ftp,File Transfer [Control]
TCP,22,ssh,SSH Remote Login Protocol
TCP,23,telnet,Telnet
TCP,24,,any private mail system
TCP,25,smtp,Simple Mail Transfer
TCP,26,,Unassigned
TCP,27,nsw-fe,NSW User System FE
TCP,28,,Unassigned
TCP,29,msg-icp,MSG ICP
TCP,30,,Unassigned
TCP,31,msg-auth,MSG Authentication
TCP,32,,Unassigned
TCP,33,dsp,Display Support Protocol
TCP,34,,Unassigned
TCP,35,,any private printer server
TCP,36,,Unassigned
TCP,37,time,Time / W32.Sober.I virus
TCP,38,rap,Route Access Protocol
TCP,39,rlp,Resource Location Protocol
TCP,40,,Unassigned
TCP,41,graphics,Graphics
TCP,42,nameserver,Host Name Server
TCP,43,nicname,WhoIs
TCP,44,mpm-flags,MPM FLAGS Protocol
TCP,45,mpm,Message Processing Module [recv]
TCP,46,mpm-snd,MPM [default send]
TCP,47,,NI FTP
TCP,48,auditd,Digital Audit Daemon
TCP,49,tacacs,Login Host Protocol (TACACS)
TCP,50,re-mail-ck,Remote Mail Checking Protocol
TCP,51,,IMP Logical Address Maintenance
TCP,52,xns-time,XNS Time Protocol
TCP,53,domain,Domain Name Server
TCP,54,xns-ch,XNS Clearinghouse
TCP,55,isi-gl,ISI Graphics Language
TCP,56,xns-auth,XNS Authentication
TCP,57,,any private terminal access
TCP,58,xns-mail,XNS Mail
TCP,59,,any private file service
TCP,60,,Unassigned
TCP,61,,NI MAIL
TCP,62,acas,ACA Services
TCP,63,whois++,whois++
TCP,64,covia,Communications Integrator (CI)
TCP,65,tacacs-ds,TACACS-Database Service
TCP,66,sql*net,Oracle SQL*NET
TCP,67,bootps,Bootstrap Protocol Server
TCP,68,bootpc,Bootstrap Protocol Client
TCP,69,tftp,Trivial File Transfer
TCP,70,gopher,Gopher
TCP,71,netrjs-1,Remote Job Service
TCP,72,netrjs-2,Remote Job Service
TCP,73,netrjs-3,Remote Job Service
TCP,74,netrjs-4,Remote Job Service
TCP,75,,any private dial out service
TCP,76,deos,Distributed External Object Store
TCP,77,,any private RJE service
TCP,78,vettcp,vettcp
TCP,79,finger,Finger
TCP,80,http,World Wide Web HTTP
TCP,81,,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm
TCP,82,xfer,XFER Utility
TCP,83,mit-ml-dev,MIT ML Device
TCP,84,ctf,Common Trace Facility
TCP,85,mit-ml-dev,MIT ML Device
TCP,86,mfcobol,Micro Focus Cobol
TCP,87,,any private terminal link
TCP,88,kerberos,Kerberos
TCP,89,su-mit-tg,SU/MIT Telnet Gateway
TCP,90,dnsix,DNSIX Securit Attribute Token Map
TCP,91,mit-dov,MIT Dover Spooler
TCP,92,npp,Network Printing Protocol
TCP,93,dcp,Device Control Protocol
TCP,94,objcall,Tivoli Object Dispatcher
TCP,95,supdup,SUPDUP
TCP,96,dixie,DIXIE Protocol Specification
TCP,97,swift-rvf,Swift Remote Virtural File Protocol
TCP,98,tacnews,Linuxconf / TAC News
TCP,99,metagram,Metagram Relay
TCP,100,,[unauthorized use]
TCP,101,hostname,NIC Host Name Server
TCP,102,iso-tsap,MSExchangeMTA X.400 / ISO-TSAP Class 0
TCP,103,gppitnp,Genesis Point-to-Point Trans Net
TCP,104,acr-nema,ACR-NEMA Digital Imag. & Comm. 300
TCP,105,csnet-ns,Mailbox Name Nameserver
TCP,106,3com-tsmux,3COM-TSMUX
TCP,107,rtelnet,Remote Telnet Service
TCP,108,snagas,SNA Gateway Access Server
TCP,109,pop2,Post Office Protocol - Version 2
TCP,110,pop3,Post Office Protocol - Version 3
TCP,111,sunrpc,SUN Remote Procedure Call
TCP,112,mcidas,McIDAS Data Transmission Protocol
TCP,113,auth,Authentication Service
TCP,114,,Audio News Multicast
TCP,115,sftp,Simple File Transfer Protocol
TCP,116,ansanotify,ANSA REX Notify
TCP,117,uucp-path,UUCP Path Service
TCP,118,sqlserv,SQL Services
TCP,119,nntp,Network News Transfer Protocol
TCP,120,cfdptkt,CFDPTKT
TCP,121,erpc,Encore Expedited Remote Pro.Call
TCP,122,smakynet,SMAKYNET
TCP,123,ntp,Network Time Protocol
TCP,124,ansatrader,ANSA REX Trader
TCP,125,locus-map,Locus PC-Interface Net Map Ser
TCP,126,nxedit,Unisys Unitary Login
TCP,127,locus-con,Locus PC-Interface Conn Server
TCP,128,gss-xlicen,GSS X License Verification
TCP,129,pwdgen,Password Generator Protocol
TCP,130,cisco-fna,cisco FNATIVE
TCP,131,cisco-tna,cisco TNATIVE
TCP,132,cisco-sys,cisco SYSMAINT
TCP,133,statsrv,Statistics Service
TCP,134,ingres-net,INGRES-NET Service
TCP,135,msrpc,DCE endpoint resolution
TCP,136,profile,PROFILE Naming System
TCP,137,netbios-ns,NETBIOS Name Service
TCP,138,netbios-dgm,NETBIOS Datagram Service
TCP,139,netbios-ssn,NETBIOS Session Service
TCP,140,emfis-data,EMFIS Data Service
TCP,141,emfis-cntl,EMFIS Control Service
TCP,142,bl-idm,Britton-Lee IDM
TCP,143,imap,Internet Message Access Protocol
TCP,144,uma,Universal Management Architecture
TCP,145,uaac,UAAC Protocol
TCP,146,iso-tp0,ISO-IP0
TCP,147,iso-ip,ISO-IP
TCP,148,jargon,Jargon
TCP,149,aed-512,AED 512 Emulation Service
TCP,150,sql-net,SQL-NET
TCP,151,hems,HEMS
TCP,152,bftp,Background File Transfer Program
TCP,153,sgmp,SGMP
TCP,154,netsc-prod,NETSC
TCP,155,netsc-dev,NETSC
TCP,156,sqlsrv,SQL Service
TCP,157,knet-cmp,KNET/VM Command/Message Protocol
TCP,158,pcmail-srv,PCMail Server
TCP,159,nss-routing,NSS-Routing
TCP,160,sgmp-traps,SGMP-TRAPS
TCP,161,snmp,SNMP
TCP,162,snmptrap,SNMPTRAP
TCP,163,cmip-man,CMIP/TCP Manager
TCP,164,cmip-agent,CMIP/TCP Agent
TCP,165,xns-courier,Xerox
TCP,166,s-net,Sirius Systems
TCP,167,namp,NAMP
TCP,168,rsvd,RSVD
TCP,169,send,SEND
TCP,170,print-srv,Network PostScript
TCP,171,multiplex,Network Innovations Multiplex
TCP,172,cl/1,Network Innovations CL/1
TCP,173,xyplex-mux,Xyplex
TCP,174,mailq,MAILQ
TCP,175,vmnet,VMNET
TCP,176,genrad-mux,GENRAD-MUX
TCP,177,xdmcp,X Display Manager Control Protocol
TCP,178,nextstep,NextStep Window Server
TCP,179,bgp,Border Gateway Protocol
TCP,180,ris,Intergraph
TCP,181,unify,Unify
TCP,182,audit,Unisys Audit SITP
TCP,183,ocbinder,OCBinder
TCP,184,ocserver,OCServer
TCP,185,remote-kis,Remote-KIS
TCP,186,kis,KIS Protocol
TCP,187,aci,Application Communication Interface
TCP,188,mumps,Plus Five's MUMPS
TCP,189,qft,Queued File Transport
TCP,190,gacp,Gateway Access Control Protocol
TCP,191,prospero,Prospero Directory Service
TCP,192,osu-nms,OSU Network Monitoring System
TCP,193,srmp,Spider Remote Monitoring Protocol
TCP,194,irc,Internet Relay Chat Protocol
TCP,195,dn6-nlm-aud,DNSIX Network Level Module Audit
TCP,196,dn6-smm-red,DNSIX Session Mgt Module Audit Redir
TCP,197,dls,Directory Location Service
TCP,198,dls-mon,Directory Location Service Monitor
TCP,199,smux,SMUX
TCP,200,src,IBM System Resource Controller
TCP,201,at-rtmp,AppleTalk Routing Maintenance
TCP,202,at-nbp,AppleTalk Name Binding
TCP,203,at-3,AppleTalk Unused
TCP,204,at-echo,AppleTalk Echo
TCP,205,at-5,AppleTalk Unused
TCP,206,at-zis,AppleTalk Zone Information
TCP,207,at-7,AppleTalk Unused
TCP,208,at-8,AppleTalk Unused
TCP,209,qmtp,The Quick Mail Transfer Protocol
TCP,210,z39.50,ANSI Z39.50
TCP,211,914c/g,Texas Instruments 914C/G Terminal
TCP,212,anet,ATEXSSTR
TCP,213,ipx,IPX
TCP,214,vmpwscs,VM PWSCS
TCP,215,softpc,Insignia Solutions
TCP,216,CAIlic,Computer Associates Int'l License Server
TCP,217,dbase,dBASE Unix
TCP,218,mpp,Netix Message Posting Protocol
TCP,219,uarps,Unisys ARPs
TCP,220,imap3,Interactive Mail Access Protocol v3
TCP,221,fln-spx,Berkeley rlogind with SPX auth
TCP,222,rsh-spx,Berkeley rshd with SPX auth
TCP,223,cdc,Certificate Distribution Center
TCP,224,masqdialer,masqdialer
TCP,242,direct,Direct
TCP,243,sur-meas,Survey Measurement
TCP,244,inbusiness,inbusiness
TCP,245,link,LINK
TCP,246,dsp3270,Display Systems Protocol
TCP,247,subntbcst_tftp,SUBNTBCST_TFTP
TCP,248,bhfhs,bhfhs
TCP,256,rap,RAP/Checkpoint SNMP
TCP,257,set,Check Point / Secure Electronic Transaction
TCP,258,,Check Point / Yak Winsock Personal Chat
TCP,259,esro-gen,Check Point Firewall-1 telnet auth / Efficient Short Remote Operations
TCP,260,openport,Openport
TCP,261,nsiiops,IIOP Name Service over TLS/SSL
TCP,262,arcisdms,Arcisdms
TCP,263,hdap,HDAP
TCP,264,bgmp,BGMP / Check Point
TCP,265,x-bone-ctl,X-Bone CTL
TCP,266,sst,SCSI on ST
TCP,267,td-service,Tobit David Service Layer
TCP,268,td-replica,Tobit David Replica
TCP,269,manet,MANET Protocols
TCP,270,gist,Q-mode encapsulation for GIST messages
TCP,280,http-mgmt,HTTP-mgmt
TCP,281,personal-link,Personal Link
TCP,282,cableport-ax,Cable Port A/X
TCP,283,rescap,rescap
TCP,284,corerjd,corerjd
TCP,286,fxp,FXP-1
TCP,287,k-block,K-BLOCK
TCP,308,novastorbakcup,Novastor Backup
TCP,309,entrusttime,EntrustTime
TCP,310,bhmds,bhmds
TCP,311,asip-webadmin,AppleShare IP WebAdmin
TCP,312,vslmp,VSLMP
TCP,313,magenta-logic,Magenta Logic
TCP,314,opalis-robot,Opalis Robot
TCP,315,dpsi,DPSI
TCP,316,decauth,decAuth
TCP,317,zannet,Zannet
TCP,318,pkix-timestamp,PKIX TimeStamp
TCP,319,ptp-event,PTP Event
TCP,320,ptp-general,PTP General
TCP,321,pip,PIP
TCP,322,rtsps,RTSPS
TCP,333,texar,Texar Security Port
TCP,344,pdap,Prospero Data Access Protocol
TCP,345,pawserv,Perf Analysis Workbench
TCP,346,zserv,Zebra server
TCP,347,fatserv,Fatmen Server
TCP,348,csi-sgwp,Cabletron Management Protocol
TCP,349,mftp,mftp
TCP,350,matip-type-a,MATIP Type A
TCP,351,bhoetty,bhoetty (added 5/21/97)
TCP,352,bhoedap4,bhoedap4 (added 5/21/97)
TCP,353,ndsauth,NDSAUTH
TCP,354,bh611,bh611
TCP,355,datex-asn,DATEX-ASN
TCP,356,cloanto-net-1,Cloanto Net 1
TCP,357,bhevent,bhevent
TCP,358,shrinkwrap,Shrinkwrap
TCP,359,nsrmp,Tenebris Network Trace Service
TCP,360,scoi2odialog,scoi2odialog
TCP,361,semantix,Semantix
TCP,362,srssend,SRS Send
TCP,363,rsvp_tunnel,RSVP Tunnel
TCP,364,aurora-cmgr,Aurora CMGR
TCP,365,dtk,DTK
TCP,366,odmr,ODMR
TCP,367,mortgageware,MortgageWare
TCP,368,qbikgdp,QbikGDP
TCP,369,rpc2portmap,rpc2portmap
TCP,370,codaauth2,codaauth2
TCP,371,clearcase,Clearcase
TCP,372,ulistproc,ListProcessor
TCP,373,legent-1,Legent Corporation
TCP,374,legent-2,Legent Corporation
TCP,375,hassle,Hassle
TCP,376,nip,Amiga Envoy Network Inquiry Proto
TCP,377,tnETOS,NEC Corporation
TCP,378,dsETOS,NEC Corporation
TCP,379,is99c,TIA/EIA/IS-99 modem client
TCP,380,is99s,TIA/EIA/IS-99 modem server
TCP,381,hp-collector,hp performance data collector
TCP,382,hp-managed-node,hp performance data managed node
TCP,383,hp-alarm-mgr,hp performance data alarm manager
TCP,384,arns,A Remote Network Server System
TCP,385,ibm-app,IBM Application
TCP,386,asa,ASA Message Router Object Def.
TCP,387,aurp,Appletalk Update-Based Routing Pro.
TCP,388,unidata-ldm,Unidata LDM
TCP,389,ldap,Lightweight Directory Access Protocol / Internet Locator Service (ILS)
TCP,390,uis,UIS
TCP,391,synotics-relay,SynOptics SNMP Relay Port
TCP,392,synotics-broker,SynOptics Port Broker Port
TCP,393,meta5,Data Interpretation System
TCP,394,embl-ndt,EMBL Nucleic Data Transfer
TCP,395,netcp,NETscout Control Protocol
TCP,396,netware-ip,Novell Netware over IP
TCP,397,mptn,Multi Protocol Trans. Net.
TCP,398,kryptolan,Kryptolan
TCP,399,iso-tsap-c2,ISO Transport Class 2 Non-Control over TCP
TCP,400,osb-sd,Workstation Solutions
TCP,401,ups,Uninterruptible Power Supply
TCP,402,genie,Genie Protocol
TCP,403,decap,decap
TCP,404,nced,nced
TCP,405,ncld,ncld
TCP,406,imsp,Interactive Mail Support Protocol
TCP,407,timbuktu,Timbuktu
TCP,408,prm-sm,Prospero Resource Manager Sys. Man.
TCP,409,prm-nm,Prospero Resource Manager Node Man.
TCP,410,decladebug,DECLadebug Remote Debug Protocol
TCP,411,rmt,Remote MT Protocol
TCP,412,synoptics-trap,NeoModus Direct Connect (Windows file sharing program) / Trap Convention Port
TCP,413,smsp,SMSP
TCP,414,infoseek,InfoSeek
TCP,415,bnet,BNet
TCP,416,silverplatter,Silverplatter
TCP,417,onmux,Onmux
TCP,418,hyper-g,Hyper-G
TCP,419,ariel1,Ariel
TCP,420,smpte,SMPTE
TCP,421,ariel2,Ariel
TCP,422,ariel3,Ariel
TCP,423,opc-job-start,IBM Operations Planning and Control Start
TCP,424,opc-job-track,IBM Operations Planning and Control Track
TCP,425,icad-el,ICAD
TCP,426,smartsdp,smartsdp
TCP,427,svrloc,Server Location
TCP,428,ocs_cmu,OCS_CMU
TCP,429,ocs_amu,OCS_AMU
TCP,430,utmpsd,UTMPSD
TCP,431,utmpcd,UTMPCD
TCP,432,iasd,IASD
TCP,433,nnsp,NNSP
TCP,434,mobileip-agent,MobileIP-Agent
TCP,435,mobilip-mn,MobilIP-MN
TCP,436,dna-cml,DNA-CML
TCP,437,comscm,comscm
TCP,438,dsfgw,dsfgw
TCP,439,dasp,dasp
TCP,440,sgcp,sgcp
TCP,441,decvms-sysmgt,decvms-sysmgt
TCP,442,cvc_hostd,cvc_hostd
TCP,443,https,HTTP protocol over TLS/SSL
TCP,444,snpp,Simple Network Paging Protocol
TCP,445,microsoft-ds,Microsoft-DS
TCP,446,ddm-rdb,DDM-RDB
